0:0:0,x,y,z
0:2:40.76,2875.0,6378.12,15628.12
0:2:40.98,-679.69,-3101.56,1976.56
0:2:41.19,-1554.69,-2848.44,3232.81
0:2:41.40,-8570.31,-18359.38,-16956.25
0:2:41.62,-1746.88,-2740.62,-6484.38
0:2:41.83,4635.94,11540.62,17484.38
0:2:42.6,-562.5,-6390.62,4553.12
0:2:42.32,-676.56,-1975.0,-5609.38
0:2:42.53,-7754.69,-9853.12,-12237.5
0:2:42.74,-812.5,2781.25,-2756.25
0:2:42.95,4310.94,8264.06,17165.62
0:2:43.16,-75.0,-1934.38,-2370.31
0:2:43.38,-3968.75,-6106.25,200.0
0:2:43.60,-8126.56,-9992.19,-19423.44
0:2:43.81,-664.06,1475.0,859.38
0:2:44.2,4126.56,6946.88,11234.38
0:2:44.23,2031.25,2920.31,1503.12
0:2:44.44,573.44,-1557.81,457.81
0:2:44.66,-9951.56,-12982.81,-17829.69
0:2:44.88,925.0,2896.88,-7492.19
0:2:45.9,4343.75,7673.44,15103.12
0:2:45.30,-326.56,-4051.56,6770.31
0:2:45.52,-1984.38,-4773.44,748.44
0:2:45.78,-9554.69,-8646.88,-13771.88
0:2:46.0,-473.44,517.19,-1420.31
0:2:46.21,5207.81,13104.69,21271.88
0:2:46.42,-426.56,-5168.75,-2414.06
0:2:46.64,578.12,1290.62,-7039.06
0:2:46.86,-5562.5,-3815.62,-13707.81
0:2:47.8,-1339.06,475.0,3912.5
0:2:47.28,5978.12,9687.5,18982.81
0:2:47.49,207.81,-1770.31,-4378.12
0:2:47.72,973.44,909.38,-5312.5
0:2:47.94,-8659.38,-9185.941,-15353.12
0:2:48.16,23.44,1879.69,3034.38
0:2:48.38,5971.879,9729.691,20132.81
0:2:48.59,1857.81,3150.0,-2832.81
0:2:48.81,-290.62,31.25,-6565.62
0:2:49.4,-9140.62,-9446.879,-12321.88
0:2:49.30,678.12,2978.12,10654.69
0:2:49.51,6470.31,10090.62,18796.88
0:2:49.73,1317.19,287.5,-1726.56
0:2:49.94,-106.25,393.75,-11387.5
0:2:50.16,-9203.12,-8796.88,-8632.81
0:2:50.38,1303.12,4239.06,9346.88
0:2:50.61,8325.0,5365.62,20565.62
0:2:50.82,1706.25,146.88,2484.38
0:2:51.4,1034.38,4307.81,-16689.06
0:2:51.26,-7795.31,-7043.75,-5725.0
0:2:51.48,4865.62,6182.81,2343.75
0:2:51.70,5654.69,710.94,20539.06
0:2:51.93,-1473.44,-3587.5,3510.94
0:2:52.15,-2553.12,-3225.0,-18706.25
0:2:52.37,-1517.19,-654.69,-10020.31
0:2:52.60,4592.19,3776.56,12665.62
0:2:52.87,4925.0,7282.81,7570.31
0:2:53.9,120.31,-1854.69,-3156.25
0:2:53.30,-7396.88,-10104.69,-19975.0
0:2:53.53,-3031.25,-2109.38,-4293.75
0:2:53.76,5009.38,9910.941,18234.38
0:2:53.98,128.12,-3398.44,1314.06
0:2:54.21,-523.44,-581.25,-9484.38
0:2:54.43,-9815.619,-9809.38,-5829.69
0:2:54.66,2275.0,3600.0,4948.44
